"Your query : ((ALL(""astrophysics"")))",
Number of results : 506075,
Year,Papers
2021,3768
2020,25973
2019,26525
2018,28014
2017,26321
2016,25235
2015,24919
2014,23855
2013,22464
2012,23712
2011,21367
2010,20434
2009,19951
2008,19428
2007,17425
2006,18374
2005,16042
2004,13820
2003,12442
2002,12305
2001,10546
2000,9942
1999,9040
1998,9168
1997,7850
1996,6739
1995,4203
1994,4145
1993,3610
1992,3397
1991,3353
1990,3202
1989,2166
1988,2109
1987,1827
1986,2133
1985,1684
1984,1900
1983,1630
1982,1499
1981,1335
1980,1209
1979,1200
1978,1127
1977,1164
1976,1068
1975,1087
1974,989
1973,852
1972,716
1971,703
1970,654
1969,388
1968,325
1967,163
1966,169
1965,152
1964,60
1963,47
1962,21
1961,10
1960,11
1959,6
1958,4
1957,6
1956,6
1955,4
1954,5
1953,4
1952,8
1951,4
1950,3
1949,3
1948,5
1947,3
1946,2
1945,2
1942,1
1941,2
1940,4
1939,1
1938,2
1937,3
1936,3
1935,3
1934,3
1933,3
1929,1
1928,2
1927,1
1926,3
1925,2
1920,1
1917,1
1912,2
1911,1
1903,1
1897,1
1896,1
1892,1
