"Your query : ((ALL(""planetary science"")))",
Number of results : 430188,
Year,Papers
2021,5520
2020,30730
2019,28411
2018,27211
2017,24602
2016,23310
2015,22434
2014,21201
2013,20797
2012,18239
2011,16758
2010,15628
2009,14801
2008,13141
2007,12559
2006,12207
2005,10232
2004,9673
2003,8572
2002,7853
2001,7290
2000,6935
1999,6218
1998,5926
1997,5315
1996,5313
1995,3329
1994,3180
1993,3044
1992,3055
1991,2861
1990,2870
1989,2599
1988,2408
1987,2338
1986,2205
1985,1849
1984,2026
1983,1927
1982,1683
1981,1778
1980,1651
1979,1555
1978,1369
1977,1186
1976,1008
1975,1000
1974,864
1973,831
1972,789
1971,648
1970,577
1969,155
1968,183
1967,184
1966,124
1965,11
1964,13
1963,5
1961,1
1960,3
1959,1
1958,2
