"Your query : (ALL(""planetary science""))",
Number of results : 494968,
Year,Papers
2022,31467
2021,34070
2020,31702
2019,29174
2018,27724
2017,24872
2016,23486
2015,22657
2014,21265
2013,20867
2012,18314
2011,16807
2010,15681
2009,14875
2008,13456
2007,12664
2006,12233
2005,10255
2004,9691
2003,8583
2002,7862
2001,7325
2000,6951
1999,6257
1998,5977
1997,5355
1996,5352
1995,3370
1994,3204
1993,3127
1992,3138
1991,2948
1990,2967
1989,2658
1988,2448
1987,2346
1986,2215
1985,1873
1984,2043
1983,1962
1982,1735
1981,1797
1980,1666
1979,1564
1978,1372
1977,1192
1976,1011
1975,1003
1974,865
1973,835
1972,794
1971,650
1970,581
1969,155
1968,183
1967,184
1966,124
1965,11
1964,13
1963,5
1961,1
1960,3
1959,1
1958,2
