"Your query : (ALL(""astrophysics""))",
Number of results : 478821,
Year,Papers
2020,6497
2019,25437
2018,27141
2017,25263
2016,24987
2015,24615
2014,23858
2013,22415
2012,23532
2011,21323
2010,20283
2009,19890
2008,19562
2007,17426
2006,18315
2005,16014
2004,13820
2003,12442
2002,12463
2001,10701
2000,9975
1999,9022
1998,9172
1997,7813
1996,6726
1995,4175
1994,3948
1993,3589
1992,3382
1991,3345
1990,3197
1989,2166
1988,2108
1987,1828
1986,2136
1985,1684
1984,1899
1983,1631
1982,1496
1981,1337
1980,1205
1979,1198
1978,1123
1977,1164
1976,1068
1975,1085
1974,989
1973,851
1972,716
1971,702
1970,654
1969,387
1968,325
1967,163
1966,169
1965,152
1964,60
1963,47
1962,21
1961,10
1960,11
1959,6
1958,4
1957,6
1956,6
1955,4
1954,5
1953,4
1952,8
1951,4
1950,3
1949,3
1948,5
1947,3
1946,2
1945,2
1942,1
1941,2
1940,4
1939,1
1938,2
1937,3
1936,3
1935,3
1934,3
1933,3
1929,1
1928,2
1927,1
1926,3
1925,2
1920,1
1917,1
1912,2
1911,1
1903,1
1897,1
1896,1
1892,1
