"Your query : (ALL(""Earth science""))",
Number of results : 678621,
Year,Papers
2020,28637
2019,66953
2018,59408
2017,52011
2016,48255
2015,43397
2014,38766
2013,35850
2012,30030
2011,27887
2010,23441
2009,21024
2008,19291
2007,17479
2006,16189
2005,14732
2004,12740
2003,11372
2002,10146
2001,9502
2000,9046
1999,8385
1998,7458
1997,6925
1996,7343
1995,4110
1994,4294
1993,3824
1992,3665
1991,3306
1990,3468
1989,3279
1988,3017
1987,2652
1986,2515
1985,2033
1984,2227
1983,2102
1982,1730
1981,1499
1980,1428
1979,1101
1978,891
1977,889
1976,720
1975,803
1974,576
1973,492
1972,402
1971,384
1970,345
1969,90
1968,156
1967,76
1966,73
1965,29
1964,35
1963,24
1962,20
1961,13
1960,9
1959,11
1958,5
1957,4
1956,6
1955,6
1954,5
1953,3
1952,3
1951,1
1950,3
1949,1
1947,2
1941,1
1940,5
1938,1
1937,2
1936,1
1935,2
1934,1
1933,1
1932,2
1931,4
1926,2
1925,1
1920,1
1916,1
1902,1
1901,1
