"Your query : (ALL(""planetary science""))",
Number of results : 404990,
Year,Papers
2020,11656
2019,28377
2018,26939
2017,24472
2016,23241
2015,22295
2014,21250
2013,20781
2012,18230
2011,16739
2010,15626
2009,14798
2008,13147
2007,12560
2006,12209
2005,10230
2004,9674
2003,8570
2002,7926
2001,7286
2000,6923
1999,6213
1998,5912
1997,5312
1996,5313
1995,3329
1994,3177
1993,3042
1992,3055
1991,2862
1990,2871
1989,2599
1988,2408
1987,2338
1986,2204
1985,1850
1984,2026
1983,1926
1982,1683
1981,1777
1980,1651
1979,1556
1978,1369
1977,1186
1976,1008
1975,1000
1974,864
1973,832
1972,789
1971,649
1970,578
1969,155
1968,183
1967,184
1966,124
1965,11
1964,13
1963,5
1961,1
1960,3
1959,1
1958,2
