"Your query : ((ALL(""Earth science"")))",
Number of results : 803858,
Year,Papers
2021,69443
2020,78932
2019,68421
2018,60694
2017,52696
2016,48811
2015,44119
2014,38719
2013,35989
2012,30122
2011,27943
2010,23487
2009,21048
2008,19262
2007,17468
2006,16188
2005,14738
2004,12760
2003,11383
2002,10103
2001,9526
2000,9054
1999,8400
1998,7482
1997,6930
1996,7342
1995,4113
1994,4296
1993,3836
1992,3668
1991,3310
1990,3471
1989,3280
1988,3017
1987,2654
1986,2518
1985,2032
1984,2230
1983,2106
1982,1731
1981,1508
1980,1431
1979,1103
1978,892
1977,890
1976,720
1975,804
1974,577
1973,493
1972,402
1971,384
1970,355
1969,90
1968,156
1967,76
1966,73
1965,29
1964,35
1963,24
1962,20
1961,13
1960,9
1959,11
1958,5
1957,4
1956,6
1955,6
1954,5
1953,3
1952,3
1951,1
1950,3
1949,1
1947,2
1941,1
1940,5
1938,1
1937,2
1936,1
1935,2
1934,1
1933,1
1932,2
1931,4
1926,2
1925,1
1920,1
1916,1
1902,1
1901,1
