"Your query : (ALL(""heliophysics"" OR ""space physics"" OR ""solar physics"" OR ""space weather""))",
Number of results : 146302,
Year,Papers
2021,5484
2020,7701
2019,7618
2018,7322
2017,7011
2016,6705
2015,6839
2014,6141
2013,6628
2012,6097
2011,5747
2010,5397
2009,5363
2008,4825
2007,4528
2006,5059
2005,4873
2004,3870
2003,3646
2002,3935
2001,2974
2000,2952
1999,2663
1998,2580
1997,2430
1996,1639
1995,1037
1994,1153
1993,915
1992,865
1991,915
1990,893
1989,525
1988,575
1987,508
1986,601
1985,573
1984,578
1983,624
1982,602
1981,470
1980,401
1979,406
1978,371
1977,431
1976,421
1975,442
1974,476
1973,477
1972,437
1971,454
1970,359
1969,298
1968,174
1967,116
1966,22
1965,17
1964,8
1963,10
1962,5
1961,3
1960,2
1958,1
1956,2
1955,3
1954,1
1953,2
1952,4
1951,1
1949,1
1948,1
1947,3
1946,3
1944,1
1942,1
1940,1
1938,1
1937,3
1936,1
1935,7
1934,4
1932,3
1931,1
1930,1
1927,1
1926,1
1924,2
1923,1
1922,1
1919,1
1918,1
1917,1
1916,1
1915,1
1914,1
1913,1
1912,1
1911,5
1910,2
1909,2
1905,3
1904,1
1903,4
1902,2
1899,1
1896,1
1891,1
1886,1
1883,2
1882,1
1881,12
1880,1
1879,1
1877,2
1876,1
1874,1
