"Your query : (ALL(""astrophysics""))",
Number of results : 596633,
Year,Papers
2023,27168
2022,30601
2021,29318
2020,28615
2019,27680
2018,28752
2017,26847
2016,25602
2015,25197
2014,23992
2013,22563
2012,23823
2011,21435
2010,20460
2009,20146
2008,19831
2007,17627
2006,18475
2005,16119
2004,13755
2003,12491
2002,12287
2001,10539
2000,9903
1999,9040
1998,9185
1997,7863
1996,6750
1995,4224
1994,4182
1993,3622
1992,3434
1991,3370
1990,3196
1989,2173
1988,2114
1987,1825
1986,2129
1985,1686
1984,1904
1983,1636
1982,1513
1981,1338
1980,1207
1979,1199
1978,1128
1977,1163
1976,1070
1975,1087
1974,989
1973,852
1972,716
1971,703
1970,655
1969,389
1968,324
1967,163
1966,169
1965,152
1964,60
1963,47
1962,21
1961,10
1960,11
1959,6
1958,4
1957,6
1956,6
1955,4
1954,5
1953,4
1952,8
1951,4
1950,3
1949,3
1948,5
1947,3
1946,2
1945,2
1942,1
1941,2
1940,4
1939,1
1938,2
1937,3
1936,3
1935,3
1934,3
1933,3
1929,1
1928,2
1927,1
1926,3
1925,2
1920,1
1917,1
1912,2
1911,1
1903,1
1897,1
1896,1
1892,1
