"Your query : (ALL(""planetary science""))",
Number of results : 531523,
Year,Papers
2023,30793
2022,34708
2021,34788
2020,32420
2019,29731
2018,27771
2017,24951
2016,23524
2015,22798
2014,21319
2013,20941
2012,18331
2011,16785
2010,15690
2009,14874
2008,13474
2007,12834
2006,12126
2005,10153
2004,9695
2003,8590
2002,7871
2001,7318
2000,6944
1999,6260
1998,5980
1997,5339
1996,5334
1995,3389
1994,3221
1993,3150
1992,3169
1991,2965
1990,2981
1989,2659
1988,2450
1987,2347
1986,2216
1985,1874
1984,2043
1983,1963
1982,1735
1981,1797
1980,1667
1979,1564
1978,1372
1977,1192
1976,1011
1975,1004
1974,869
1973,836
1972,794
1971,650
1970,581
1969,155
1968,183
1967,184
1966,124
1965,11
1964,13
1963,5
1961,1
1960,3
1959,1
1958,2
