"Your query : (ALL((""astrophysics"" OR ""astronomy"" OR ""exoplanets"" )))",
Number of results : 1158206,
Year,Papers
2024,60099
2023,58826
2022,59114
2021,55719
2020,54547
2019,51693
2018,52108
2017,48782
2016,47095
2015,45172
2014,43392
2013,40544
2012,41871
2011,37875
2010,35761
2009,34038
2008,32586
2007,29604
2006,30575
2005,27272
2004,21663
2003,20221
2002,21185
2001,18537
2000,17428
1999,15426
1998,16008
1997,14613
1996,12837
1995,9233
1994,9232
1993,8001
1992,7273
1991,7050
1990,6655
1989,4813
1988,4638
1987,4075
1986,4381
1985,3864
1984,3970
1983,3380
1982,3230
1981,2983
1980,2783
1979,2755
1978,2511
1977,2539
1976,2366
1975,2412
1974,2174
1973,1947
1972,1889
1971,1744
1970,1734
1969,1153
1968,927
1967,625
1966,546
1965,441
1964,343
1963,250
1962,185
1961,135
1960,132
1959,74
1958,84
1957,50
1956,152
1955,122
1954,31
1953,36
1952,42
1951,43
1950,43
1949,19
1948,27
1947,21
1946,16
1945,6
1944,11
1943,7
1942,8
1941,12
1940,7
1939,12
1938,16
1937,7
1936,9
1935,13
1934,10
1933,7
1932,5
1931,6
1930,3
1929,10
1928,5
1927,4
1926,9
1925,6
1924,1
1923,9
1922,4
1921,6
1920,6
1919,7
1918,2
1917,4
1916,1
1915,9
1914,4
1913,2
1912,6
1911,10
1910,6
1909,8
1908,10
1907,3
1906,6
1905,6
1904,2
1903,10
1902,9
1901,7
1900,9
1899,11
1898,6
1897,10
1896,5
1895,8
1894,7
1893,16
1892,13
1891,8
1890,4
1889,6
1888,1
1887,4
1886,10
1885,2
1884,2
1883,3
1882,2
1881,12
1880,8
1877,2
1875,4
1874,1
1873,1
1872,1
1871,1
1870,1
1869,2
1867,3
1862,7
1857,2
1853,1
1848,1
1837,1
