"Your query : (ALL(( ( ""astrophysics"" OR ""astronomy"" OR ""exoplanets"" ) AND (""machine learning"" OR ""artificial intelligence"") )))",
Number of results : 48501,
Year,Papers
2024,8533
2023,7508
2022,6514
2021,5088
2020,3940
2019,3008
2018,2322
2017,1744
2016,1487
2015,1168
2014,1032
2013,933
2012,867
2011,644
2010,658
2009,561
2008,447
2007,385
2006,323
2005,298
2004,191
2003,135
2002,111
2001,90
2000,66
1999,65
1998,65
1997,55
1996,63
1995,26
1994,35
1993,21
1992,28
1991,13
1990,18
1989,7
1988,12
1987,7
1986,7
1985,6
1984,3
1983,2
1981,2
1980,2
1979,2
1978,4
1975,2
1973,1
1972,2
