"Your query : (ALL((""heliophysics"" OR ""space physics"")))",
Number of results : 83975,
Year,Papers
2020,1551
2019,5132
2018,5142
2017,4890
2016,4757
2015,4834
2014,4268
2013,4610
2012,4273
2011,4128
2010,3815
2009,3769
2008,3455
2007,3100
2006,3517
2005,3318
2004,2540
2003,2414
2002,2389
2001,2127
2000,1770
1999,1612
1998,1422
1997,1099
1996,468
1995,325
1994,323
1993,232
1992,207
1991,204
1990,192
1989,145
1988,161
1987,132
1986,132
1985,149
1984,117
1983,134
1982,103
1981,112
1980,94
1979,94
1978,62
1977,58
1976,74
1975,65
1974,69
1973,62
1972,76
1971,65
1970,59
1969,37
1968,15
1967,21
1966,20
1965,13
1964,7
1963,8
1962,3
1961,3
1960,1
1958,1
