"Your query : (ALL((( ""space physics"" OR ""solar wind"" OR ""heliophysics"" OR ""ionospheres"" OR ""magnetospheres"") AND (""machine learning"" OR ""artificial intelligence""))))",
Number of results : 11520,
Year,Papers
2024,2651
2023,2088
2022,1582
2021,1272
2020,878
2019,579
2018,465
2017,311
2016,318
2015,232
2014,183
2013,147
2012,123
2011,107
2010,83
2009,65
2008,96
2007,39
2006,46
2005,39
2004,39
2003,38
2002,24
2001,21
2000,24
1999,19
1998,10
1997,7
1996,15
1995,7
1994,1
1993,3
1992,1
1991,1
1990,1
1989,1
1986,1
1985,1
1974,1
1972,1
