"Your query : (ALL(( ""planetary science"" OR ""planetary geology"" OR ""planetary atmospheres"" OR ""planetary space environments"" )))",
Number of results : 587474,
Year,Papers
2024,33958
2023,34449
2022,35776
2021,35819
2020,33446
2019,30557
2018,28510
2017,25661
2016,24188
2015,23416
2014,21889
2013,21590
2012,18897
2011,17318
2010,16298
2009,15370
2008,13921
2007,13250
2006,12567
2005,10601
2004,10074
2003,8915
2002,8294
2001,7671
2000,7265
1999,6530
1998,6282
1997,5644
1996,5593
1995,3559
1994,3390
1993,3326
1992,3352
1991,3145
1990,3124
1989,2793
1988,2572
1987,2476
1986,2342
1985,2000
1984,2192
1983,2106
1982,1877
1981,1949
1980,1807
1979,1709
1978,1503
1977,1285
1976,1113
1975,1111
1974,972
1973,945
1972,864
1971,744
1970,664
1969,186
1968,199
1967,197
1966,136
1965,18
1964,19
1963,13
1962,6
1961,8
1960,4
1959,3
1958,2
1957,1
1953,1
1952,1
1950,1
1933,1
1912,1
1902,2
1900,4
1886,1
1885,1
